交   亠,"交   亠     mix   コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす kō, maji-waru, maji-eru, ma-jiru, ma-zaru, ma-zeru, ka-u, ka-wasu    Strokes: 6"
光   儿,"光   儿     ray   コウ、ひか-る、ひかり kō, hika-ru, hikari    Strokes: 6"
考   老,"考   老     think   コウ、かんが-える kō, kanga-eru    Strokes: 6"
行   行,"行   行     go   コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う kō, gyō, (an), i-ku, yu-ku, okona-u    Strokes: 6"
高   高,"高   高     tall, expensive   コウ、たか-い、たか、たか-まる、たか-める kō, taka-i, taka, taka-maru, taka-meru    Strokes: 10"
黄   黃,"黄   黃     yellow   コウ、オウ、き、（こ） kō, ō, ki, (ko)    Strokes: 11"
合   口,"合   口     fit   ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる gō, ga', (ka'), a-u, a-wasu, a-waseru    Strokes: 6"
谷   谷,"谷   谷     valley   コク、たに koku, tani    Strokes: 7"
国   囗,"国   囗     country   コク、くに koku, kuni    Strokes: 8"
黒   黑,"黒   黑     black   コク、くろ、くろ-い koku, kuro, kuro-i    Strokes: 11"
今   人,"今   人     now   コン、キン、いま kon, kin, ima    Strokes: 4"
才   手,才   手     genius   サイ sai    Strokes: 3
細   糸,"細   糸     thin   サイ、ほそ-い、ほそ-る、こま-か、こま-かい sai, hoso-i, hoso-ru, koma-ka, koma-kai    Strokes: 11"
作   人,"作   人     make   サク、サ、つく-る saku, sa, tsuku-ru    Strokes: 7"
算   竹,算   竹     calculate   サン san    Strokes: 14
止   止,"止   止     stop   シ、と-まる、と-める shi, to-maru, to-meru    Strokes: 4"
市   巾,"市   巾     market   シ、いち shi, ichi    Strokes: 5"
矢   矢,"矢   矢     arrow   シ、や shi, ya    Strokes: 5"
姉   女,"姉   女     older sister   シ、あね shi, ane    Strokes: 8"
思   心,"思   心     think   シ、おも-う shi, omo-u    Strokes: 9"
紙   糸,"紙   糸     paper   シ、かみ shi, kami    Strokes: 10"
寺   寸,"寺   寸     Buddhist temple   ジ、てら ji, tera    Strokes: 6"
自   自,"自   自     oneself   ジ、シ、みずか-ら ji, shi, mizuka-ra    Strokes: 6"
時   日,"時   日     time   ジ、とき ji, toki    Strokes: 10"
室   宀,"室   宀     room   シツ、むろ shitsu, muro    Strokes: 9"
社   示,"社   示     company   シャ、やしろ sha, yashiro    Strokes: 7"
弱   弓,"弱   弓     weak   ジャク、よわ-い、よわ-る、よわ-まる、よわ-める jaku, yowa-i, yowa-ru, yowa-maru, yowa-meru    Strokes: 10"
首   首,"首   首     neck   シュ、くび shu, kubi    Strokes: 9"
秋   禾,"秋   禾     autumn   シュウ、あき shū, aki    Strokes: 9"
週   辵,週   辵     week   シュウ shū    Strokes: 11
春   日,"春   日     springtime   シュン、はる shun, haru    Strokes: 9"
書   曰,"書   曰     write   ショ、か-く sho, ka-ku    Strokes: 10"
少   小,"少   小     few   ショウ、すく-ない、すこ-し shō, suku-nai, suko-shi    Strokes: 4"
場   土,"場   土     place   ジョウ、ば jō, ba    Strokes: 12"
色   色,"色   色     color   ショク、シキ、いろ shoku, shiki, iro    Strokes: 6"
食   食,"食   食     eat, meal   ショク、（ジキ）、く-う、く-らう、た-べる shoku, (jiki), ku-u, ku-rau, ta-beru    Strokes: 9"
心   心,"心   心     heart   シン、こころ shin, kokoro    Strokes: 4"
